S,H0+H6+H7+H10+H11+H12+H13+H14+H18+H19+H20
S261728,H11
S261729,H11
S262720,H11
S262721,H11
S262722,H11
S262723,H11
S262724,H11
S262725,H11
S262726,H11
S262727,H11
S262728,H11
S262729,H11
S263720,H11
S263721,H11
S263722,H11
S263723,H11
S263724,H11
S263725,H11
S263726,H11
S263727,H11
S263728,H11
S263729,H11+H14
S264720,H11
S264721,H11
S264722,H11
S264723,H11
S264724,H11
S264725,H11
S264726,H11
S264727,H11
S264728,H11
S264729,H11+H14
S265720,H11
S265721,H11
S265722,H11
S265723,H11
S265724,H11
S265725,H11
S265726,H11
S265727,H11
S265728,H11
S265729,H11
S266720,H11
S266721,H11
S266722,H11
S266723,H11
S266724,H11
S266725,H11
S266726,H11
S266727,H11
S266728,H11
S266729,H11
S267720,H11
S267721,H11
S267722,H11
S267723,H11
S267724,H11
S267725,H11
S267726,H11
S267727,H11
S267728,H11
S267729,H11
S268720,H11
S268721,H11
S268722,H11
S268723,H11
S268724,H11
S268725,H11
S268726,H11
S268727,H11
S268728,H11
S268729,H11
S269720,H11
S269721,H11
S269722,H11
S269723,H11
S269724,H11
S269725,H11
S269726,H11
S269727,H11
S269728,H11
S269729,H11
S2673,H11+H14
S260730,H11
S260731,H11
S260732,H11+H14
S261730,H11
S261731,H11
S261732,H11+H14
S261733,H11+H14
S262730,H11
S262731,H11+H14
S262732,H11+H14
S263730,H11+H14
S263731,H11+H14
S264730,H11+H14
S264731,H11+H14
S265730,H11
S265731,H11+H14
S265732,H11+H14
S265733,H11+H14
S266730,H11
S266731,H11
S266732,H11
S266733,H11+H14
S266734,H11+H14
S267730,H11
S267731,H11
S267732,H11
S267733,H11
S267734,H11+H14
S267735,H11+H14
S268730,H11
S268731,H11
S268732,H11
S268733,H11
S268734,H11
S268735,H11+H14
S269730,H11
S269731,H11
S269732,H11
S269733,H11
S269734,H11
S269735,H11+H14
S269736,H11+H14
S269737,H11+H14
S2772,H11
S2773,H11+H14
S270730,H11
S270731,H11
S270732,H11
S270733,H11
S270734,H11
S270735,H11
S270736,H11
S270737,H11+H14
S270738,H11+H14
S270739,H11+H14
S271730,H11
S271731,H11
S271732,H11
S271733,H11
S271734,H11
S271735,H11
S271736,H11
S271737,H11
S271738,H11
S271739,H11+H14
S272730,H11
S272731,H11
S272732,H11
S272733,H11
S272734,H11
S272735,H11
S272736,H11
S272737,H11
S272738,H11
S272739,H11+H14
S273730,H11
S273731,H11
S273732,H11
S273733,H11
S273734,H11
S273735,H11
S273736,H11
S273737,H11
S273738,H11
S273739,H11+H14
S274730,H11
S274731,H11
S274732,H11
S274733,H11
S274734,H11
S274735,H11
S274736,H11
S274737,H11
S274738,H11
S274739,H11
S275730,H11
S275731,H11
S275732,H11
S275733,H11
S275734,H11
S275735,H11
S275736,H11
S275737,H11
S275738,H11
S275739,H11
S276730,H11
S276731,H11
S276732,H11
S276733,H11
S276734,H11
S276735,H11
S276736,H11
S276737,H11
S276738,H11
S276739,H11
S277730,H11
S277731,H11
S277732,H11
S277733,H11
S277734,H11
S277735,H11
S277736,H11
S277737,H11
S277738,H11
S277739,H11
S278730,H11
S278731,H11
S278732,H11
S278733,H11
S278734,H11
S278735,H11
S278736,H11
S278737,H11
S278738,H11
S278739,H11
S279730,H11
S279731,H11
S279732,H11
S279733,H11
S279734,H11
S279735,H11
S279736,H11
S279737,H11
S279738,H11
S279739,H11
S27S,H11+H14
S2774,H11+H14
S273740,H11+H14
S274740,H11+H14
S275740,H11+H14
S275741,H11+H14
S276740,H11
S276741,H11+H14
S276742,H11+H14
S277740,H11
S277741,H11
S277742,H11+H14
S278740,H11
S278741,H11
S278742,H11+H14
S278743,H11+H14
S278744,H11+H14
S279740,H11
S279741,H11
S279742,H11
S279743,H11
S279744,H11+H14
S279745,H11+H14
S27V,H11
S27W,H11+H14
S2872,H11
S2873,H11
S2972,H11
S2973,H11+H14
S290730,H11
S290731,H11
S290732,H11
S290733,H11
S290734,H11
S290735,H11
S290736,H11
S290737,H11
S290738,H11
S290739,H11
S291730,H11
S291731,H11
S291732,H11
S291733,H11
S291734,H11
S291735,H11
S291736,H11
S291737,H11
S291738,H11
S291739,H11
S292730,H11
S292731,H11
S292732,H11
S292733,H11
S292734,H11
S292735,H11
S292736,H11
S292737,H11
S292738,H11
S292739,H11
S293730,H11
S293731,H11
S293732,H11
S293733,H11
S293734,H11
S293735,H11
S293736,H11
S293737,H11
S293738,H11
S293739,H11
S294730,H11
S294731,H11
S294732,H11
S294733,H11
S294734,H11
S294735,H11
S294736,H11
S294737,H11
S294738,H11
S294739,H11
S295730,H11
S295731,H11
S295732,H11
S295733,H11
S295734,H11
S295735,H11
S295736,H11
S295737,H11
S295738,H11
S295739,H11
S296730,H11
S296731,H11
S296732,H11
S296733,H11
S296734,H11
S296735,H11
S296736,H11
S296737,H11
S296738,H11+H14
S296739,H11
S297730,H11
S297731,H11+H14
S297732,H11+H14
S297733,H11+H14
S297734,H11
S297735,H11
S297736,H11
S297737,H11
S297738,H11+H14
S297739,H11+H14
S298730,H11
S298731,H11+H14
S298733,H11+H14
S298734,H11+H14
S298735,H11+H14
S298736,H11
S298737,H11
S298738,H11+H14
S299730,H11+H14
S299731,H11+H14
S299735,H11+H14
S299736,H11+H14
S299737,H11+H14
S299738,H11+H14
S27X,H11+H14
S2874,H11+H14
S280740,H11
S280741,H11
S280742,H11
S280743,H11
S280744,H11
S280745,H11+H14
S280746,H11+H14
S281740,H11
S281741,H11
S281742,H11
S281743,H11
S281744,H11
S281745,H11
S281746,H11+H14
S281747,H11+H14
S282740,H11
S282741,H11
S282742,H11
S282743,H11
S282744,H11
S282745,H11
S282746,H11
S282747,H11+H14
S282748,H11+H14
S282749,H11+H14
S283740,H11
S283741,H11
S283742,H11
S283743,H11
S283744,H11
S283745,H11
S283746,H11
S283747,H11
S283748,H11
S283749,H11
S284740,H11
S284741,H11
S284742,H11
S284743,H11
S284744,H11
S284745,H11
S284746,H11
S284747,H11
S284748,H11
S284749,H11
S285740,H11
S285741,H11
S285742,H11
S285743,H11
S285744,H11
S285745,H11
S285746,H11
S285747,H11
S285748,H11
S285749,H11
S286740,H11
S286741,H11
S286742,H11
S286743,H11
S286744,H11
S286745,H11
S286746,H11
S286747,H11
S286748,H11
S286749,H11
S287740,H11
S287741,H11
S287742,H11
S287743,H11
S287744,H11
S287745,H11
S287746,H11
S287747,H11
S287748,H11+H14
S287749,H11+H14
S288740,H11
S288741,H11
S288742,H11
S288743,H11
S288744,H11
S288745,H11
S288746,H11+H14
S288747,H11+H14
S288748,H11+H14
S289740,H11
S289741,H11
S289742,H11
S289743,H11
S289744,H11
S289745,H11
