M,H0+H9+H10+H15+H16+H17+H18+H24+H25+H26+H27+H28+H29
M687967,H25+H28
M687968,H25+H28
M687969,H25+H28
M688966,H25+H28
M688967,H25+H28
M688968,H28
M688969,H28
M689964,H25+H28
M689965,H25+H28
M689966,H25+H28
M689967,H28
M689968,H28
M689969,H28
M6897,H28
M6996,H25+H28
M690962,H25+H28
M690963,H25+H28
M690964,H25+H28
M690965,H28
M690966,H28
M690967,H28
M690968,H28
M690969,H28
M691960,H25+H28
M691961,H25+H28
M691962,H25+H28
M691963,H28
M691964,H28
M691965,H28
M691966,H28
M691967,H28
M691968,H28
M691969,H28
M692960,H25+H28
M692961,H28
M692962,H28
M692963,H28
M692964,H28
M692965,H28
M692966,H28
M692967,H28
M692968,H28
M692969,H28
M693960,H25+H28
M693961,H28
M693962,H28
M693963,H28
M693964,H28
M693965,H28
M693966,H28
M693967,H28
M693968,H28
M693969,H28
M694960,H25+H28
M694961,H28
M694962,H28
M694963,H28
M694964,H28
M694965,H28
M694966,H28
M694967,H28
M694968,H28
M694969,H28
M695960,H25+H28
M695961,H28
M695962,H28
M695963,H28
M695964,H28
M695965,H28
M695966,H28
M695967,H28
M695968,H28
M695969,H28
M696960,H25+H28
M696961,H28
M696962,H28
M696963,H28
M696964,H28
M696965,H28
M696966,H28
M696967,H28
M696968,H28
M696969,H28
M697960,H25+H28
M697961,H28
M697962,H28
M697963,H28
M697964,H28
M697965,H28
M697966,H28
M697967,H28
M697968,H28
M697969,H28
M698960,H25+H28
M698961,H28
M698962,H28
M698963,H28
M698964,H28
M698965,H28
M698966,H28
M698967,H28
M698968,H28
M698969,H28
M699960,H25+H28
M699961,H28
M699962,H28
M699963,H28
M699964,H28
M699965,H28
M699966,H28
M699967,H28
M699968,H28
M699969,H28
M6997,H28
M69Z,H28
M79,H25+H28
M79NW,H25+H28
M79NE,H25+H28
M79D,H25+H28
M7096,H25+H28
M700960,H25+H28
M700961,H28
M700962,H28
M700963,H28
M700964,H28
M700965,H28
M700966,H28
M700967,H28
M700968,H28
M700969,H28
M701960,H25+H28
M701961,H28
M701962,H28
M701963,H28
M701964,H28
M701965,H28
M701966,H28
M701967,H28
M701968,H28
M701969,H28
M702960,H25+H28
M702961,H28
M702962,H28
M702963,H28
M702964,H28
M702965,H28
M702966,H28
M702967,H28
M702968,H28
M702969,H28
M703960,H25+H28
M703961,H28
M703962,H28
M703963,H28
M703964,H28
M703965,H28
M703966,H28
M703967,H28
M703968,H28
M703969,H28
M704960,H25+H28
M704961,H25+H28
M704962,H28
M704963,H28
M704964,H28
M704965,H28
M704966,H25+H28
M704967,H25+H28
M704968,H25+H28
M704969,H25+H28
M705961,H25+H28
M705962,H25+H28
M705963,H25+H28
M705964,H25+H28
M705965,H25+H28
M705966,H25+H28
M705969,H25+H28
M706962,H25+H28
M706963,H25+H28
M7097,H25+H28
M700970,H28
M700971,H28
M700972,H28
M700973,H28
M700974,H28
M700975,H28
M700976,H28
M700977,H28
M700978,H28
M700979,H28
M701970,H28
M701971,H28
M701972,H28
M701973,H28
M701974,H28
M701975,H28
M701976,H28
M701977,H28
M701978,H28
M701979,H28
M702970,H28
M702971,H28
M702972,H28
M702973,H28
M702974,H28
M702975,H28
M702976,H28
M702977,H28
M702978,H28
M702979,H28
M703970,H28
M703971,H28
M703972,H28
M703973,H28
M703974,H28
M703975,H28
M703976,H28
M703977,H28
M703978,H28
M703979,H28
M704970,H25+H28
M704971,H25+H28
M704972,H25+H28
M704973,H28
M704974,H28
M704975,H28
M704976,H28
M704977,H28
M704978,H28
M704979,H28
M705972,H25+H28
M705973,H25+H28
M705974,H28
M705975,H28
M705976,H28
M705977,H28
M705978,H28
M705979,H28
M706973,H25+H28
M706974,H25+H28
M706975,H25+H28
M706976,H28
M706977,H28
M706978,H28
M706979,H28
M707975,H25+H28
M707976,H28
M707977,H28
M707978,H28
M707979,H28
M708975,H25+H28
M708976,H28
M708977,H28
M708978,H28
M708979,H28
M709975,H25+H28
M709976,H28
M709977,H28
M709978,H28
M709979,H28
M7197,H25+H28
M710975,H25+H28
M710976,H28
M710977,H28
M710978,H28
M710979,H28
M711974,H25+H28
M711975,H25+H28
M711976,H28
M711977,H28
M711978,H28
M711979,H28
M712974,H25+H28
M712975,H25+H28
M712976,H25+H28
M712977,H28
M712978,H28
M712979,H28
M713976,H25+H28
M713977,H25+H28
M713978,H28
M713979,H28
M714977,H25+H28
M714978,H25+H28
M714979,H28
M715977,H25+H28
M715978,H25+H28
M715979,H28
M716976,H25+H28
M716977,H25+H28
M716978,H28
M716979,H28
M717975,H25+H28
M717976,H25+H28
M717977,H28
M717978,H28
M717979,H28
M718975,H25+H28
M718976,H28
M718977,H28
M718978,H28
M718979,H28
M719975,H25+H28
M719976,H28
M719977,H28
M719978,H28
M719979,H28
M79E,H28
M79I,H25+H28
M7297,H25+H28
M720975,H25+H28
M720976,H28
M720977,H28
M720978,H28
M720979,H28
M721975,H25+H28
M721976,H28
M721977,H28
M721978,H28
M721979,H28
M722975,H25+H28
M722976,H28
M722977,H28
M722978,H28
M722979,H28
M723975,H25+H28
M723976,H28
M723977,H28
M723978,H28
M723979,H28
M724975,H25+H28
M724976,H28
M724977,H28
M724978,H28
M724979,H28
M725975,H25+H28
M725976,H28
M725977,H28
M725978,H28
M725979,H28
M726975,H25+H28
M726976,H28
M726977,H28
M726978,H28
M726979,H28
M727975,H25+H28
M727976,H28
M727977,H28
M727978,H28
M727979,H28
M728975,H25+H28
M728976,H28
M728977,H28
M728978,H28
M728979,H28
M729975,H25+H28
M729976,H28
M729977,H28
M729978,H28
M729979,H28
M7397,H25+H28
M730975,H25+H28
M730976,H28
M730977,H28
M730978,H28
M730979,H28
M731975,H25+H28
M731976,H28
M731977,H28
M731978,H28
M731979,H28
M732975,H25+H28
M732976,H28
M732977,H28
M732978,H28
M732979,H28
M733975,H25+H28
M733976,H28
M733977,H28
M733978,H28
M733979,H28
M734975,H25+H28
M734976,H28
M734977,H28
M734978,H28
M734979,H28
M735975,H25+H28
M735976,H28
M735977,H28
M735978,H28
M735979,H28
M736975,H25+H28
M736976,H28
M736977,H28
M736978,H28
M736979,H28
M737974,H25+H28
M737975,H25+H28
M737976,H28
M737977,H28
M737978,H28
M737979,H28
M738974,H25+H28
M738975,H28
M738976,H28
M738977,H28
M738978,H28
M738979,H28
M739974,H25+H28
M739975,H28
M739976,H28
M739977,H28
M739978,H28
M739979,H28
M79J,H28
M79N,H25+H28
M7497,H25+H28
M740973,H25+H28
M740974,H25+H28
M740975,H28
M740976,H28
M740977,H28
M740978,H28
M740979,H28
M741973,H25+H28
M741974,H28
M741975,H28
M741976,H28
M741977,H28
M741978,H28
M741979,H28
M742973,H25+H28
M742974,H28
M742975,H28
M742976,H28
M742977,H28
M742978,H28
M742979,H28
M743973,H25+H28
M743974,H28
M743975,H28
M743976,H28
M743977,H28
M743978,H28
M743979,H28
M744973,H25+H28
M744974,H28
M744975,H28
M744976,H28
M744977,H28
M744978,H28
M744979,H28
M745973,H25+H28
M745974,H25+H28
M745975,H28
M745976,H28
M745977,H28
M745978,H28
M745979,H28
M746974,H25+H28
M746975,H25+H28
M746976,H28
M746977,H28
M746978,H28
M746979,H28
M747975,H25+H28
M747976,H25+H28
M747977,H28
M747978,H28
M747979,H28
M748975,H25+H28
M748976,H28
M748977,H28
M748978,H28
M748979,H28
M749975,H25+H28
M749976,H28
M749977,H28
M749978,H28
M749979,H28
M7597,H25+H28
M750975,H25+H28
M750976,H28
M750977,H28
M750978,H28
M750979,H28
M751975,H25+H28
M751976,H28
M751977,H28
M751978,H28
M751979,H28
M752973,H25+H28
M752974,H25+H28
M752975,H25+H28
M752976,H28
M752977,H28
M752978,H28
M752979,H28
M753973,H25+H28
M753974,H28
M753975,H28
M753976,H28
M753977,H28
M753978,H28
M753979,H28
M754973,H25+H28
M754974,H28
M754975,H28
M754976,H28
M754977,H28
M754978,H28
M754979,H28
M755973,H25+H28
M755974,H28
M755975,H28
M755976,H28
M755977,H28
M755978,H28
M755979,H28
M756973,H25+H28
M756974,H25+H28
M756975,H28
M756976,H28
M756977,H28
M756978,H28
M756979,H28
M757974,H25+H28
M757975,H28
M757976,H28
M757977,H28
M757978,H28
M757979,H28
M758974,H25+H28
M758975,H25+H28
M758976,H28
M758977,H28
M758978,H28
M758979,H28
M759975,H25+H28
M759976,H28
M759977,H28
M759978,H28
M759979,H28
M79P,H25+H28
M7498,H28
M7499,H28
M7598,H28
M7599,H25+H28
M750990,H28
M750991,H28
M750992,H28
M750993,H28
M750994,H28
M750995,H28
M750996,H28
M750997,H28
M750998,H28
M750999,H28
M751990,H28
M751991,H28
M751992,H28
M751993,H28
M751994,H28
M751995,H28
M751996,H28
M751997,H28
M751998,H28
M751999,H28
M752990,H28
M752991,H28
M752992,H28
M752993,H28
M752994,H28
M752995,H28
M752996,H28
M752997,H28
M752998,H28
M752999,H28
M753990,H28
M753991,H28
M753992,H28
M753993,H28
M753994,H28
M753995,H28
M753996,H28
M753997,H28
M753998,H28
M753999,H28
M754990,H28
M754991,H28
M754992,H28
M754993,H28
M754994,H28
M754995,H28
M754996,H28
M754997,H28
M754998,H28
M754999,H28
M755990,H28
M755991,H28
M755992,H28
M755993,H28
M755994,H28
M755995,H28
M755996,H28
M755997,H28
M755998,H28
M755999,H28
M756990,H28
M756991,H28
M756992,H28
M756993,H28
M756994,H28
M756995,H28
M756996,H28
M756997,H28
M756998,H28
M756999,H25+H28
M757990,H28
M757991,H28
M757992,H28
M757993,H28
M757994,H28
M757995,H28
M757996,H28
M757997,H28
M757998,H28
M757999,H25+H28
M758990,H28
M758991,H28
M758992,H28
M758993,H28
M758994,H28
M758995,H28
M758996,H28
M758997,H28
M758998,H28
M758999,H25+H28
M759990,H28
M759991,H28
M759992,H28
M759993,H28
M759994,H28
M759995,H28
M759996,H28
M759997,H28
M759998,H28
M759999,H25+H28
M79T,H25+H28
M7697,H25+H28
M760975,H25+H28
M760976,H25+H28
M760977,H28
M760978,H28
M760979,H28
M761975,H25+H28
M761976,H25+H28
M761977,H28
M761978,H28
M761979,H28
M762975,H25+H28
M762976,H28
M762977,H28
M762978,H28
M762979,H28
M763975,H25+H28
M763976,H28
M763977,H28
M763978,H28
M763979,H28
M764975,H25+H28
M764976,H28
M764977,H28
M764978,H28
M764979,H28
M765975,H25+H28
M765976,H28
M765977,H28
M765978,H28
M765979,H28
M766975,H25+H28
M766976,H25+H28
M766977,H28
M766978,H28
M766979,H28
M767975,H25+H28
M767976,H25+H28
M767977,H28
M767978,H28
M767979,H28
M768975,H25+H28
M768976,H28
M768977,H28
M768978,H28
M768979,H28
M769975,H25+H28
M769976,H28
M769977,H28
M769978,H28
M769979,H28
M7797,H25+H28
M770975,H25+H28
M770976,H28
M770977,H28
M770978,H28
M770979,H28
M771975,H25+H28
M771976,H28
M771977,H28
M771978,H28
M771979,H28
M772975,H25+H28
M772976,H28
M772977,H28
M772978,H28
M772979,H28
M773975,H25+H28
M773976,H28
M773977,H28
M773978,H28
M773979,H28
M774975,H25+H28
M774976,H28
M774977,H28
M774978,H28
M774979,H28
M775975,H25+H28
M775976,H28
M775977,H28
M775978,H28
M775979,H28
M776975,H25+H28
M776976,H28
M776977,H28
M776978,H28
M776979,H28
M777975,H25+H28
M777976,H28
M777977,H28
M777978,H28
M777979,H28
M778974,H25+H28
M778975,H25+H28
M778976,H28
M778977,H28
M778978,H28
M778979,H28
M779974,H25+H28
M779975,H28
M779976,H28
M779977,H28
M779978,H28
M779979,H28
M79U,H25+H28
M7698,H28
M7699,H25+H28
M760990,H28
M760991,H28
M760992,H28
M760993,H28
M760994,H28
M760995,H28
M760996,H28
M760997,H28
M760998,H28
M760999,H25+H28
M761990,H28
M761991,H28
M761992,H28
M761993,H28
M761994,H28
M761995,H28
M761996,H28
M761997,H28
M761998,H28
M761999,H25+H28
M762990,H28
M762991,H28
M762992,H28
M762993,H28
M762994,H28
M762995,H28
M762996,H28
M762997,H28
M762998,H28
M762999,H25+H28
M763990,H28
M763991,H28
M763992,H28
M763993,H28
M763994,H28
M763995,H28
M763996,H28
M763997,H28
M763998,H25+H28
M763999,H25+H28
M764990,H28
M764991,H28
M764992,H28
M764993,H28
M764994,H28
M764995,H28
M764996,H28
M764997,H28
M764998,H28
M764999,H28
M765990,H28
M765991,H28
M765992,H28
M765993,H28
M765994,H28
M765995,H28
M765996,H28
M765997,H28
M765998,H28
M765999,H28
M766990,H28
M766991,H28
M766992,H28
M766993,H28
M766994,H28
M766995,H28
M766996,H28
M766997,H28
M766998,H28
M766999,H28
M767990,H28
M767991,H28
M767992,H28
M767993,H28
M767994,H28
M767995,H28
M767996,H28
M767997,H28
M767998,H28
M767999,H28
M768990,H28
M768991,H28
M768992,H28
M768993,H28
M768994,H28
M768995,H28
M768996,H28
M768997,H28
M768998,H28
M768999,H28
M769990,H28
M769991,H28
M769992,H28
M769993,H28
M769994,H28
M769995,H28
M769996,H28
M769997,H28
M769998,H28
M769999,H28
M7798,H25+H28
M770980,H28
M770981,H28
M770982,H28
M770983,H28
M770984,H28
M770985,H28
M770986,H28
M770987,H28
M770988,H28
M770989,H28
M771980,H28
M771981,H28
M771982,H28
M771983,H28
M771984,H28
M771985,H28
M771986,H28
M771987,H28
M771988,H28
M771989,H28
M772980,H28
M772981,H28
M772982,H28
M772983,H28
M772984,H28
M772985,H28
M772986,H28
M772987,H28
M772988,H28
M772989,H28
M773980,H28
M773981,H28
M773982,H28
M773983,H28
M773984,H28
M773985,H28
M773986,H28
M773987,H28
M773988,H28
M773989,H28
M774980,H28
M774981,H28
M774982,H28
M774983,H28
M774984,H28
M774985,H28
M774986,H28
M774987,H28
M774988,H28
M774989,H28
M775980,H28
M775981,H28
M775982,H28
M775983,H28
M775984,H28
M775985,H28
M775986,H28
M775987,H28
M775988,H28
M775989,H25+H28
M776980,H28
M776981,H28
M776982,H28
M776983,H28
M776984,H28
M776985,H28
M776986,H28
M776987,H28
M776988,H25+H28
M776989,H25+H28
M777980,H28
M777981,H28
M777982,H28
M777983,H28
M777984,H28
M777985,H28
M777986,H25+H28
M777987,H25+H28
M777988,H25+H28
M778980,H28
M778981,H28
M778982,H25+H28
M778983,H25+H28
M778984,H25+H28
M778985,H25+H28
M778986,H25+H28
M779980,H25+H28
M779981,H28
M779982,H25+H28
M779985,H25+H28
M7799,H25+H28
M770990,H28
M770991,H28
M770992,H25+H28
M770993,H25+H28
M770994,H28
M770995,H28
M770996,H28
M770997,H28
M770998,H28
M770999,H28
M771990,H28
M771991,H25+H28
M771992,H25+H28
M771993,H25+H28
M771994,H25+H28
M771995,H25+H28
M771996,H25+H28
M771997,H25+H28
M771998,H28
M771999,H28
M772990,H28
M772991,H25+H28
M772997,H25+H28
M772998,H25+H28
M772999,H25+H28
M773990,H28
M773991,H25+H28
M774990,H28
M774991,H25+H28
M775990,H25+H28
M775991,H25+H28
M79Y,H25+H28
M7897,H25+H28
M780974,H25+H28
M780975,H25+H28
M780976,H28
M780977,H28
M780978,H28
M780979,H25+H28
M781975,H25+H28
M781976,H25+H28
M781977,H25+H28
M781978,H25+H28
M781979,H25+H28
M79Z,H25+H28
M7898,H25+H28
M780980,H25+H28
M780981,H25+H28
M780982,H25+H28
G,H0+H25+H26+H27+H28+H29+H30+H33+H34+H35
G21,H26+H27+H28
G21NW,H27+H28
G21SE,H26+H27+H28
G21NE,H26+H27+H28
G21M,H26+H27+H28
G2515,H26+H27+H28
G254157,H27+H28
G254158,H27+H28
G254159,H27+H28
G255154,H27+H28
G255155,H27+H28
G255156,H27+H28
G255157,H27+H28
G255158,H28
G255159,H28
G256153,H27+H28
G256154,H27+H28
G256155,H27+H28
G256156,H28
G256157,H28
G256158,H28
G256159,H28
G257151,H26+H27+H28
G257152,H27+H28
G257153,H27+H28
G257154,H28
G257155,H28
G257156,H28
G257157,H28
G257158,H28
G257159,H28
G258151,H26+H28
G258152,H28
G258153,H28
G258154,H28
G258155,H28
G258156,H28
G258157,H28
G258158,H28
G258159,H28
G259150,H26+H28
G259151,H26+H28
G259152,H28
G259153,H28
G259154,H28
G259155,H28
G259156,H28
G259157,H28
G259158,H28
G259159,H28
G21N,H27+H28
G2416,H27+H28
G244169,H27+H28
G245168,H27+H28
G245169,H27+H28
G246167,H27+H28
G246168,H27+H28
G246169,H28
G247167,H27+H28
G247168,H28
G247169,H28
G248166,H27+H28
G248167,H27+H28
G248168,H28
G248169,H28
G249164,H27+H28
G249165,H27+H28
G249166,H27+H28
G249167,H28
G249168,H28
G249169,H28
G2417,H27+H28
G243171,H27+H28
G243172,H27+H28
G243173,H27+H28
G243175,H27+H28
G243176,H27+H28
G243177,H27+H28
G243178,H27+H28
G243179,H27+H28
G244170,H27+H28
G244171,H27+H28
G244172,H28
G244173,H27+H28
G244174,H27+H28
G244175,H27+H28
G244176,H28
G244177,H28
G244178,H28
G244179,H28
G245170,H28
G245171,H28
G245172,H28
G245173,H28
G245174,H28
G245175,H28
G245176,H28
G245177,H28
G245178,H28
G245179,H28
G246170,H28
G246171,H28
G246172,H28
G246173,H28
G246174,H28
G246175,H28
G246176,H28
G246177,H28
G246178,H28
G246179,H28
G247170,H28
G247171,H28
G247172,H28
G247173,H28
G247174,H28
G247175,H28
G247176,H28
G247177,H28
G247178,H28
G247179,H28
G248170,H28
G248171,H28
G248172,H28
G248173,H28
G248174,H28
G248175,H28
G248176,H28
G248177,H28
G248178,H28
G248179,H28
G249170,H28
G249171,H28
G249172,H28
G249173,H28
G249174,H28
G249175,H28
G249176,H28
G249177,H28
G249178,H28
G249179,H28
G2516,H27+H28
G250163,H27+H28
G250164,H27+H28
G250165,H28
G250166,H28
G250167,H28
G250168,H28
G250169,H28
G251162,H27+H28
G251163,H27+H28
G251164,H28
G251165,H28
G251166,H28
G251167,H28
G251168,H28
G251169,H28
G252161,H27+H28
G252162,H27+H28
G252163,H28
G252164,H28
G252165,H28
G252166,H28
G252167,H28
G252168,H28
G252169,H28
G253160,H27+H28
G253161,H27+H28
G253162,H28
G253163,H28
G253164,H28
G253165,H28
G253166,H28
G253167,H28
G253168,H28
G253169,H28
G254160,H27+H28
G254161,H28
G254162,H28
G254163,H28
G254164,H28
G254165,H28
G254166,H28
G254167,H28
G254168,H28
G254169,H28
G255160,H28
G255161,H28
G255162,H28
G255163,H28
G255164,H28
G255165,H28
G255166,H28
G255167,H28
G255168,H28
G255169,H28
G256160,H28
G256161,H28
G256162,H28
G256163,H28
G256164,H28
G256165,H28
G256166,H28
G256167,H28
G256168,H28
G256169,H28
G257160,H28
G257161,H28
G257162,H28
G257163,H28
G257164,H28
G257165,H28
G257166,H28
G257167,H28
G257168,H28
G257169,H28
G258160,H28
G258161,H28
G258162,H28
G258163,H28
G258164,H28
G258165,H28
G258166,H28
G258167,H28
G258168,H28
G258169,H28
G259160,H28
G259161,H28
G259162,H28
G259163,H28
G259164,H28
G259165,H28
G259166,H28
G259167,H28
G259168,H28
G259169,H28
G2517,H28
G21P,H27+H28
G2418,H27+H28
G243180,H27+H28
G243181,H27+H28
G243182,H27+H28
G243183,H27+H28
G243184,H27+H28
G244180,H28
G244181,H28
G244182,H28
G244183,H28
G244184,H27+H28
G244185,H27+H28
G245180,H28
G245181,H28
G245182,H28
G245183,H28
G245184,H28
G245185,H27+H28
G245186,H27+H28
G246180,H28
G246181,H28
G246182,H28
G246183,H28
G246184,H28
G246185,H28
G246186,H27+H28
G246187,H27+H28
G246188,H27+H28
G247180,H28
G247181,H28
G247182,H28
G247183,H28
G247184,H28
G247185,H28
G247186,H28
G247187,H28
G247188,H27+H28
G247189,H27+H28
G248180,H28
G248181,H28
G248182,H28
G248183,H28
G248184,H28
G248185,H28
G248186,H28
G248187,H28
G248188,H28
G248189,H27+H28
G249180,H28
G249181,H28
G249182,H28
G249183,H28
G249184,H28
G249185,H28
G249186,H28
G249187,H28
G249188,H28
G249189,H28
G2419,H27+H28
G248190,H27+H28
G249190,H27+H28
G249191,H27+H28
G2518,H28
G2519,H27+H28
G250190,H28
G250191,H27+H28
G250192,H27+H28
G251190,H28
G251191,H28
G251192,H27+H28
G251193,H27+H28
G251194,H27+H28
G252190,H28
G252191,H28
G252192,H28
G252193,H28
G252194,H27+H28
G252195,H27+H28
G253190,H28
G253191,H28
G253192,H28
G253193,H28
G253194,H28
G253195,H27+H28
G253196,H27+H28
G253197,H27+H28
G253198,H27+H28
G253199,H27+H28
G254190,H28
G254191,H28
G254192,H28
G254193,H28
G254194,H28
G254195,H28
G254196,H27+H28
G254197,H27+H28
G254198,H28
G254199,H28
G255190,H28
G255191,H28
G255192,H28
G255193,H28
G255194,H28
G255195,H28
G255196,H28
G255197,H28
G255198,H28
G255199,H28
G256190,H28
G256191,H28
G256192,H28
G256193,H28
G256194,H28
G256195,H28
G256196,H28
G256197,H28
G256198,H28
G256199,H28
G257190,H28
G257191,H28
G257192,H28
G257193,H28
G257194,H28
G257195,H28
G257196,H28
G257197,H28
G257198,H28
G257199,H28
G258190,H28
G258191,H28
G258192,H28
G258193,H28
G258194,H28
G258195,H28
G258196,H28
G258197,H28
G258198,H28
G258199,H28
G259190,H28
G259191,H28
G259192,H28
G259193,H28
G259194,H28
G259195,H28
G259196,H28
G259197,H28
G259198,H28
G259199,H28
G21R,H26+H28
G2613,H26+H28
G268139,H26+H28
G269138,H26+H28
G269139,H26+H28
G2713,H26+H28
G270138,H26+H28
G270139,H28
G271137,H26+H28
G271138,H26+H28
G271139,H28
G272137,H26+H28
G272138,H28
G272139,H28
G273137,H26+H28
G273138,H28
G273139,H28
G274137,H26+H28
G274138,H26+H28
G274139,H28
G275138,H26+H28
G275139,H28
G276138,H26+H28
G276139,H28
G277138,H26+H28
G277139,H26+H28
G278139,H26+H28
G21S,H26+H28
G2614,H26+H28
G260149,H26+H28
G261148,H26+H28
G261149,H26+H28
G262146,H26+H28
G262147,H26+H28
G262148,H26+H28
G262149,H28
G263145,H26+H28
G263146,H26+H28
G263147,H28
G263148,H28
G263149,H28
G264144,H26+H28
G264145,H26+H28
G264146,H28
G264147,H28
G264148,H28
G264149,H28
G265142,H26+H28
G265143,H26+H28
G265144,H26+H28
G265145,H28
G265146,H28
G265147,H28
G265148,H28
G265149,H28
G266140,H26+H28
G266141,H26+H28
G266142,H26+H28
G266143,H28
G266144,H28
G266145,H28
G266146,H28
G266147,H28
G266148,H28
G266149,H28
G267140,H26+H28
G267141,H28
G267142,H28
G267143,H28
G267144,H28
G267145,H28
G267146,H28
G267147,H28
G267148,H28
G267149,H28
G268140,H26+H28
G268141,H28
G268142,H28
G268143,H28
G268144,H28
G268145,H28
G268146,H28
G268147,H28
G268148,H28
G268149,H28
G269140,H28
G269141,H28
G269142,H28
G269143,H28
G269144,H28
G269145,H28
G269146,H28
G269147,H28
G269148,H28
G269149,H28
G2615,H26+H28
G260150,H26+H28
G260151,H28
G260152,H28
G260153,H28
G260154,H28
G260155,H28
G260156,H28
G260157,H28
G260158,H28
G260159,H28
G261150,H28
G261151,H28
G261152,H28
G261153,H28
G261154,H28
G261155,H28
G261156,H28
G261157,H28
G261158,H28
G261159,H28
G262150,H28
G262151,H28
G262152,H28
G262153,H28
G262154,H28
G262155,H28
G262156,H28
G262157,H28
G262158,H28
G262159,H28
G263150,H28
G263151,H28
G263152,H28
G263153,H28
G263154,H28
G263155,H28
G263156,H28
G263157,H28
G263158,H28
G263159,H28
G264150,H28
G264151,H28
G264152,H28
G264153,H28
G264154,H28
G264155,H28
G264156,H28
G264157,H28
G264158,H28
G264159,H28
G265150,H28
G265151,H28
G265152,H28
G265153,H28
G265154,H28
G265155,H28
G265156,H28
G265157,H28
G265158,H28
G265159,H28
G266150,H28
G266151,H28
G266152,H28
G266153,H28
G266154,H28
G266155,H28
G266156,H28
G266157,H28
G266158,H28
G266159,H28
G267150,H28
