B,H0+H34+H35
B632159,H0
B633150,H35
B633151,H0+H35
B633152,H0
B633153,H0
B633154,H0
B633155,H0
B633156,H0
B633157,H0
B633158,H0
B633159,H0
B634150,H0+H35
B634151,H0+H35
B634152,H0
B634153,H0
B634154,H0
B634155,H0
B634156,H0
B634157,H0
B634158,H0
B634159,H0
B635150,H0
B635151,H0
B635152,H0
B635153,H0
B635154,H0
B635155,H0
B635156,H0
B635157,H0
B635158,H0
B635159,H0
B636150,H0
B636151,H0
B636152,H0
B636153,H0
B636154,H0
B636155,H0
B636156,H0
B636157,H0
B636158,H0
B636159,H0
B637150,H0
B637151,H0
B637152,H0
B637153,H0
B637154,H0
B637155,H0
B637156,H0
B637157,H0
B637158,H0
B637159,H0
B638150,H0+H35
B638151,H0
B638152,H0
B638153,H0
B638154,H0
B638155,H0
B638156,H0
B638157,H0
B638158,H0
B638159,H0
B639150,H0+H35
B639151,H0+H35
B639152,H0
B639153,H0
B639154,H0
B639155,H0
B639156,H0
B639157,H0
B639158,H0
B639159,H0
B61I,H0
B61J,H0
B61K,H0
B61L,H0
B61M,H0+H35
B6414,H0+H35
B640140,H0
B640141,H0
B640142,H0
B640143,H0+H35
B640144,H0+H35
B640145,H35
B640146,H35
B640147,H35
B640148,H35
B640149,H35
B641140,H0
B641141,H0
B641142,H0
B641143,H0+H35
B641144,H0+H35
B641145,H35
B641146,H35
B641147,H35
B641148,H35
B641149,H35
B642140,H0
B642141,H0
B642142,H0+H35
B642143,H0+H35
B642144,H0+H35
B642145,H0+H35
B642146,H35
B642147,H35
B642148,H35
B642149,H35
B643140,H0
B643141,H0
B643142,H0+H35
B643143,H35
B643144,H35
B643145,H35
B643146,H35
B643147,H35
B643148,H35
B643149,H35
B644140,H0
B644141,H0+H35
B644142,H0+H35
B644143,H0+H35
B644144,H35
B644145,H35
B644146,H35
B644147,H35
B644148,H35
B644149,H35
B645140,H0
B645141,H0+H35
B645142,H0+H35
B645143,H0+H35
B645144,H35
B645145,H35
B645146,H35
B645147,H35
B645148,H35
B645149,H35
B646140,H0
B646141,H0+H35
B646142,H35
B646143,H35
B646144,H35
B646145,H35
B646146,H35
B646147,H35
B646148,H35
B646149,H35
B647140,H0
B647141,H0+H35
B647142,H35
B647143,H35
B647144,H35
B647145,H35
B647146,H35
B647147,H35
B647148,H35
B647149,H35
B648140,H0
B648141,H0+H35
B648142,H35
B648143,H35
B648144,H35
B648145,H35
B648146,H35
B648147,H35
B648148,H35
B648149,H35
B649140,H0
B649141,H0+H35
B649142,H35
B649143,H35
B649144,H35
B649145,H35
B649146,H35
B649147,H35
B649148,H35
B649149,H35
B6415,H0+H35
B640150,H35
