M,H0+H9+H10+H15+H16+H17+H18+H24+H25+H26+H27+H28+H29
M093034,H9
M093035,H0+H9
M093036,H0+H9
M093037,H0
M093038,H0
M093039,H0
M094030,H9
M094031,H9
M094032,H9
M094033,H9
M094034,H9
M094035,H9
M094036,H0+H9
M094037,H0
M094038,H0
M094039,H0
M095030,H9
M095031,H9
M095032,H9
M095033,H9
M095034,H9
M095035,H9
M095036,H0+H9
M095037,H0+H9
M095038,H0
M095039,H0
M096030,H9
M096031,H9
M096032,H9
M096033,H9
M096034,H9
M096035,H9
M096036,H9
M096037,H0+H9
M096038,H0
M096039,H0
M097030,H9
M097031,H9
M097032,H9
M097033,H9
M097034,H9
M097035,H9
M097036,H9
M097037,H0+H9
M097038,H0+H9
M097039,H0
M098030,H9
M098031,H9
M098032,H9
M098033,H9
M098034,H9
M098035,H9
M098036,H9
M098037,H9
M098038,H0+H9
M098039,H0
M099030,H9
M099031,H9
M099032,H9
M099033,H9
M099034,H9
M099035,H9
M099036,H9
M099037,H9
M099038,H0+H9
M099039,H0+H9
M00X,H0
M00Y,H0
M00Z,H0
M01,H0
M02,H0+H16
M02SW,H0+H16
M02NW,H16
M02SE,H0+H16
M02NE,H16
M02A,H0+H16
M0020,H0+H16
M000200,H0
M000201,H0
M000202,H0
M000203,H0+H16
M000204,H16
M000205,H16
M000206,H16
M000207,H16
M000208,H16
M000209,H16
M001200,H0
M001201,H0
M001202,H0
M001203,H0+H16
M001204,H16
M001205,H16
M001206,H16
M001207,H16
M001208,H16
M001209,H16
M002200,H0
M002201,H0
M002202,H0
M002203,H0+H16
M002204,H16
M002205,H16
M002206,H16
M002207,H16
M002208,H16
M002209,H16
M003200,H0
M003201,H0
M003202,H0
M003203,H0+H16
M003204,H16
M003205,H16
M003206,H16
M003207,H16
M003208,H16
M003209,H16
M004200,H0
M004201,H0
M004202,H0
M004203,H0+H16
M004204,H0+H16
M004205,H16
M004206,H16
M004207,H16
M004208,H16
M004209,H16
M005200,H0
M005201,H0
M005202,H0
M005203,H0+H16
M005204,H0+H16
M005205,H0+H16
M005206,H0+H16
M005207,H16
M005208,H16
M005209,H16
M006200,H0
M006201,H0
M006202,H0
M006203,H0+H16
M006204,H0+H16
M006205,H0+H16
M006206,H0+H16
M006207,H0+H16
M006208,H0+H16
M006209,H16
M007200,H0
