S,H0+H6+H7+H10+H11+H12+H13+H14+H18+H19+H20
S040091,H6
S040092,H6
S040093,H6
S040094,H6
S040095,H6
S040096,H6
S040097,H6
S040098,H6
S040099,H6
S041090,H6
S041091,H6
S041092,H6
S041093,H6
S041094,H6
S041095,H6
S041096,H6
S041097,H6
S041098,H6
S041099,H6
S042090,H6
S042091,H6
S042092,H6
S042093,H6
S042094,H6
S042095,H6
S042096,H6
S042097,H6
S042098,H6
S042099,H6+H7
S043090,H6
S043091,H6
S043092,H6
S043093,H6
S043094,H6
S043095,H6
S043096,H6
S043097,H6
S043098,H6+H7
S043099,H6+H7
S044090,H6
S044091,H6
S044092,H6
S044093,H6
S044094,H6
S044095,H6
S044096,H6
S044097,H6+H7
S044098,H6+H7
S044099,H7
S045090,H6
S045091,H6
S045092,H6
S045093,H6
S045094,H6
S045095,H6+H7
S045096,H6+H7
S045097,H6+H7
S045098,H7
S045099,H7
S046090,H6
S046091,H6
S046092,H6
S046093,H6
S046094,H6+H7
S046095,H6+H7
S046096,H7
S046097,H7
S046098,H7
S046099,H7
S047090,H6
S047091,H6
S047092,H6
S047093,H6+H7
S047094,H6+H7
S047095,H7
S047096,H7
S047097,H7
S047098,H7
S047099,H7
S048090,H6
S048091,H6
S048092,H6+H7
S048093,H6+H7
S048094,H7
S048095,H7
S048096,H7
S048097,H7
S048098,H7
S048099,H7
S049090,H6
S049091,H6
S049092,H6+H7
S049093,H7
S049094,H7
S049095,H7
S049096,H7
S049097,H7
S049098,H7
S049099,H7
S0508,H6+H7
S050080,H6
S050081,H6
S050082,H6
S050083,H6
S050084,H6
S050085,H6
S050086,H6
S050087,H6
S050088,H6
S050089,H6
S051080,H6
S051081,H6
S051082,H6
S051083,H6
S051084,H6
S051085,H6
S051086,H6
S051087,H6
S051088,H6
S051089,H6
S052080,H6
S052081,H6
S052082,H6
S052083,H6
S052084,H6
S052085,H6
S052086,H6
S052087,H6
S052088,H6
S052089,H6
S053080,H6
S053081,H6
S053082,H6
S053083,H6
S053084,H6
S053085,H6
S053086,H6
S053087,H6
S053088,H6
S053089,H6
S054080,H6
S054081,H6
S054082,H6
S054083,H6
S054084,H6
S054085,H6
S054086,H6
S054087,H6
S054088,H6
S054089,H6+H7
S055080,H6
S055081,H6
S055082,H6
S055083,H6
S055084,H6
S055085,H6
S055086,H6
S055087,H6
S055088,H6+H7
S055089,H6+H7
S056080,H6
S056081,H6
