T,H0+H12+H13+H20
T062053,H0+H12
T062054,H12
T062055,H12
T062056,H12
T062057,H12
T062058,H12
T062059,H12
T063050,H0
T063051,H0
T063052,H0
T063053,H0+H12
T063054,H12
T063055,H12
T063056,H12
T063057,H12
T063058,H12
T063059,H12
T064050,H0
T064051,H0
T064052,H0+H12
T064053,H0+H12
T064054,H12
T064055,H12
T064056,H12
T064057,H12
T064058,H12
T064059,H12
T065050,H0
T065051,H0
T065052,H0+H12
T065053,H12
T065054,H12
T065055,H12
T065056,H12
T065057,H12
T065058,H12
T065059,H12
T066050,H0
T066051,H0
T066052,H0+H12
T066053,H12
T066054,H12
T066055,H12
T066056,H12
T066057,H12
T066058,H12
T066059,H12
T067050,H0
T067051,H0
T067052,H0+H12
T067053,H12
T067054,H12
T067055,H12
T067056,H12
T067057,H12
T067058,H12
T067059,H12
T068050,H0
T068051,H0
T068052,H0+H12
T068053,H12
T068054,H12
T068055,H12
T068056,H12
T068057,H12
T068058,H12
T068059,H12
T069050,H0
T069051,H0
T069052,H0+H12
T069053,H12
T069054,H12
T069055,H12
T069056,H12
T069057,H12
T069058,H12
T069059,H12
T0704,H0
T0705,H0+H12
T070050,H0
T070051,H0
T070052,H0+H12
T070053,H12
T070054,H12
T070055,H12
T070056,H12
T070057,H12
T070058,H12
T070059,H12
T071050,H0
T071051,H0
T071052,H0+H12
T071053,H12
T071054,H12
T071055,H12
T071056,H12
T071057,H12
T071058,H12
T071059,H12
T072050,H0
T072051,H0
T072052,H0+H12
T072053,H12
T072054,H12
T072055,H12
T072056,H12
T072057,H12
T072058,H12
T072059,H12
T073050,H0
T073051,H0+H12
T073052,H0+H12
T073053,H12
T073054,H12
T073055,H12
T073056,H12
T073057,H12
T073058,H12
T073059,H12
T074050,H0
T074051,H0+H12
T074052,H12
T074053,H12
T074054,H12
T074055,H12
T074056,H12
T074057,H12
T074058,H12
T074059,H12
T075050,H0
T075051,H0+H12
T075052,H12
T075053,H12
T075054,H12
T075055,H12
T075056,H12
T075057,H12
T075058,H12
T075059,H12
T076050,H0
T076051,H0+H12
T076052,H12
T076053,H12
T076054,H12
T076055,H12
T076056,H12
T076057,H12
T076058,H12
T076059,H12
T077050,H0
T077051,H0+H12
T077052,H12
T077053,H12
T077054,H12
T077055,H12
T077056,H12
T077057,H12
T077058,H12
T077059,H12
T078050,H0
T078051,H0+H12
T078052,H12
T078053,H12
T078054,H12
T078055,H12
T078056,H12
T078057,H12
T078058,H12
T078059,H12
T079050,H0
T079051,H0+H12
T079052,H12
T079053,H12
T079054,H12
T079055,H12
T079056,H12
T079057,H12
T079058,H12
T079059,H12
T00T,H12
T00U,H12
T00V,H0
T00W,H0
T00X,H0+H12
T0804,H0+H12
T080040,H0
T080041,H0
T080042,H0
T080043,H0
T080044,H0
T080045,H0
T080046,H0
T080047,H0
T080048,H0
T080049,H0
T081040,H0
T081041,H0
T081042,H0
T081043,H0
T081044,H0
T081045,H0
T081046,H0
T081047,H0
T081048,H0
T081049,H0
T082040,H0
T082041,H0
T082042,H0
T082043,H0
T082044,H0
T082045,H0
T082046,H0
T082047,H0
T082048,H0
T082049,H0
T083040,H0
T083041,H0
T083042,H0
T083043,H0
T083044,H0
T083045,H0
T083046,H0
T083047,H0
T083048,H0
T083049,H0
T084040,H0
T084041,H0
T084042,H0
T084043,H0
T084044,H0
T084045,H0
T084046,H0
T084047,H0
T084048,H0
T084049,H0+H12
T085040,H0
T085041,H0
T085042,H0
T085043,H0
T085044,H0
T085045,H0
T085046,H0
T085047,H0
T085048,H0
T085049,H0+H12
T086040,H0
T086041,H0
T086042,H0
T086043,H0
T086044,H0
T086045,H0
T086046,H0
T086047,H0
T086048,H0
T086049,H0+H12
T087040,H0
T087041,H0
T087042,H0
T087043,H0
T087044,H0
T087045,H0
T087046,H0
T087047,H0
T087048,H0+H12
T087049,H0+H12
T088040,H0
T088041,H0
T088042,H0
T088043,H0
T088044,H0
T088045,H0
T088046,H0
T088047,H0
T088048,H0+H12
T088049,H12
T089040,H0
T089041,H0
T089042,H0
T089043,H0
T089044,H0
T089045,H0
T089046,H0
T089047,H0
T089048,H0+H12
T089049,H12
T0805,H0+H12
T080050,H0+H12
T080051,H0+H12
T080052,H12
T080053,H12
T080054,H12
T080055,H12
T080056,H12
T080057,H12
T080058,H12
T080059,H12
T081050,H0+H12
T081051,H12
T081052,H12
T081053,H12
T081054,H12
T081055,H12
T081056,H12
T081057,H12
T081058,H12
T081059,H12
T082050,H0+H12
T082051,H12
T082052,H12
T082053,H12
T082054,H12
T082055,H12
T082056,H12
T082057,H12
T082058,H12
T082059,H12
T083050,H0+H12
T083051,H12
T083052,H12
T083053,H12
T083054,H12
T083055,H12
T083056,H12
T083057,H12
T083058,H12
T083059,H12
T084050,H0+H12
T084051,H12
T084052,H12
T084053,H12
T084054,H12
T084055,H12
T084056,H12
T084057,H12
T084058,H12
T084059,H12
T085050,H12
T085051,H12
T085052,H12
T085053,H12
T085054,H12
T085055,H12
T085056,H12
T085057,H12
T085058,H12
T085059,H12
T086050,H12
T086051,H12
T086052,H12
T086053,H12
T086054,H12
T086055,H12
T086056,H12
T086057,H12
T086058,H12
T086059,H12
T087050,H12
T087051,H12
T087052,H12
T087053,H12
T087054,H12
T087055,H12
T087056,H12
T087057,H12
T087058,H12
T087059,H12
T088050,H12
T088051,H12
T088052,H12
T088053,H12
T088054,H12
T088055,H12
T088056,H12
T088057,H12
T088058,H12
T088059,H12
T089050,H12
T089051,H12
T089052,H12
T089053,H12
T089054,H12
T089055,H12
T089056,H12
T089057,H12
T089058,H12
T089059,H12
T0904,H0+H12
T090040,H0
T090041,H0
T090042,H0
T090043,H0
T090044,H0
T090045,H0
T090046,H0
T090047,H0+H12
T090048,H0+H12
T090049,H12
T091040,H0
T091041,H0
T091042,H0
T091043,H0
T091044,H0
T091045,H0
T091046,H0
T091047,H0+H12
T091048,H12
T091049,H12
T092040,H0
T092041,H0
T092042,H0
T092043,H0
T092044,H0
T092045,H0
T092046,H0
T092047,H0+H12
T092048,H12
T092049,H12
T093040,H0
T093041,H0
T093042,H0
T093043,H0
T093044,H0
T093045,H0
T093046,H0+H12
T093047,H0+H12
T093048,H12
T093049,H12
T094040,H0
T094041,H0
T094042,H0
T094043,H0
T094044,H0
T094045,H0
T094046,H0+H12
T094047,H12
T094048,H12
T094049,H12
T095040,H0
T095041,H0
T095042,H0
T095043,H0
T095044,H0
T095045,H0+H12
T095046,H0+H12
T095047,H12
T095048,H12
T095049,H12
T096040,H0
T096041,H0
T096042,H0
T096043,H0
T096044,H0+H12
T096045,H0+H12
T096046,H12
T096047,H12
T096048,H12
T096049,H12
T097040,H0
T097041,H0
T097042,H0
T097043,H0
T097044,H0+H12
T097045,H12
T097046,H12
T097047,H12
T097048,H12
T097049,H12
T098040,H0
T098041,H0
T098042,H0
T098043,H0+H12
T098044,H0+H12
T098045,H12
T098046,H12
T098047,H12
T098048,H12
T098049,H12
T099040,H0
T099041,H0
T099042,H0+H12
T099043,H0+H12
T099044,H12
T099045,H12
T099046,H12
T099047,H12
T099048,H12
T099049,H12
T0905,H12
T00Y,H12
T00Z,H12
T01,H0+H12
T01SW,H12
T01NW,H12
T01SE,H12
T01NE,H0+H12
T01A,H12
T01B,H12
T01C,H12
T01D,H12
T01E,H12
T01F,H12
T01G,H12
T01H,H12
T01I,H12
T01J,H12
T01K,H12
T01L,H12
T01M,H12
T01N,H12
T01P,H0+H12
T0418,H12
T0419,H12
T0518,H0+H12
T050180,H12
T050181,H12
T050182,H12
T050183,H12
T050184,H12
T050185,H12
T050186,H12
T050187,H12
T050188,H12
T050189,H12
T051180,H12
T051181,H12
T051182,H12
T051183,H12
T051184,H12
T051185,H12
T051186,H12
T051187,H12
T051188,H12
T051189,H12
T052180,H12
T052181,H12
T052182,H12
T052183,H12
T052184,H12
T052185,H12
T052186,H12
T052187,H12
T052188,H12
T052189,H12
T053180,H12
T053181,H12
T053182,H12
T053183,H12
T053184,H12
T053185,H12
T053186,H12
T053187,H12
T053188,H12
T053189,H12
T054180,H12
T054181,H12
T054182,H12
T054183,H12
T054184,H12
T054185,H12
T054186,H12
T054187,H12
T054188,H12
T054189,H12
T055180,H12
T055181,H12
T055182,H12
T055183,H12
T055184,H12
T055185,H12
T055186,H12
T055187,H12
T055188,H12
T055189,H12
T056180,H12
T056181,H12
T056182,H12
T056183,H12
T056184,H12
T056185,H12
T056186,H12
T056187,H12
T056188,H12
T056189,H12
T057180,H12
T057181,H12
T057182,H12
T057183,H12
T057184,H12
T057185,H12
T057186,H12
T057187,H12
T057188,H12
T057189,H12
T058180,H12
T058181,H12
T058182,H12
T058183,H12
T058184,H12
T058185,H12
T058186,H12
T058187,H12
T058188,H0+H12
T058189,H0+H12
T059180,H12
T059181,H12
T059182,H12
T059183,H12
T059184,H0+H12
T059185,H0+H12
T059186,H0+H12
T059187,H0+H12
T059188,H0+H12
T059189,H0+H12
T0519,H0+H12
T050190,H12
T050191,H12
T050192,H12
T050193,H12
T050194,H12
T050195,H12
T050196,H12
T050197,H12
T050198,H12
T050199,H12
T051190,H12
T051191,H12
T051192,H12
T051193,H12
T051194,H12
T051195,H12
T051196,H12
T051197,H12
T051198,H12
T051199,H12
T052190,H12
T052191,H12
T052192,H12
T052193,H12
T052194,H12
T052195,H12
T052196,H12
T052197,H12
T052198,H12
T052199,H12
T053190,H12
T053191,H12
T053192,H12
T053193,H12
T053194,H12
T053195,H12
T053196,H12
T053197,H12
T053198,H12
T053199,H12
T054190,H12
T054191,H12
T054192,H12
T054193,H12
T054194,H12
T054195,H12
T054196,H12
T054197,H12
T054198,H12
T054199,H12
T055190,H12
T055191,H12
T055192,H12
T055193,H12
T055194,H12
T055195,H12
T055196,H12
T055197,H12
T055198,H12
T055199,H12
T056190,H12
T056191,H12
T056192,H12
T056193,H12
T056194,H12
T056195,H12
T056196,H12
T056197,H12
T056198,H12
T056199,H12
T057190,H12
T057191,H12
T057192,H12
T057193,H12
T057194,H12
T057195,H12
T057196,H12
T057197,H12
T057198,H12
T057199,H12
T058190,H0+H12
T058191,H0+H12
T058192,H12
T058193,H0+H12
T058194,H0+H12
T058195,H0+H12
T058196,H0+H12
T058197,H0+H12
T058198,H0+H12
T058199,H12
T059190,H0
T059191,H0+H12
T059192,H0+H12
T059193,H0+H12
T059194,H0
T059195,H0
T059196,H0
T059197,H0
T059198,H0+H12
T059199,H0+H12
T01Q,H12
