L,H0+H9+H16+H27
L480642,H16
L480643,H0+H16
L480644,H0+H16
L480645,H0
L480646,H0
L480647,H0
L480648,H0
L480649,H0
L481640,H16
L481641,H16
L481642,H16
L481643,H16
L481644,H0+H16
L481645,H0+H16
L481646,H0
L481647,H0
L481648,H0
L481649,H0+H16
L482640,H16
L482641,H16
L482642,H16
L482643,H16
L482644,H16
L482645,H0+H16
L482646,H0+H16
L482647,H0
L482648,H0+H16
L482649,H0+H16
L483640,H16
L483641,H16
L483642,H16
L483643,H16
L483644,H16
L483645,H16
L483646,H0+H16
L483647,H0+H16
L483648,H0+H16
L483649,H16
L484640,H16
L484641,H16
L484642,H16
L484643,H16
L484644,H16
L484645,H16
L484646,H16
L484647,H16
L484648,H16
L484649,H16
L485640,H0+H16
L485641,H0+H16
L485642,H16
L485643,H16
L485644,H16
L485645,H16
L485646,H16
L485647,H16
L485648,H16
L485649,H16
L486640,H0
L486641,H0+H16
L486642,H0+H16
L486643,H16
L486644,H16
L486645,H16
L486646,H16
L486647,H16
L486648,H16
L486649,H16
L487640,H0
L487641,H0
L487642,H0+H16
L487643,H0+H16
L487644,H16
L487645,H16
L487646,H16
L487647,H16
L487648,H16
L487649,H16
L488640,H0
L488641,H0
L488642,H0
L488643,H0+H16
L488644,H16
L488645,H16
L488646,H16
L488647,H16
L488648,H16
L488649,H16
L489640,H0
L489641,H0+H16
L489642,H0+H16
L489643,H0+H16
L489644,H16
L489645,H16
L489646,H16
L489647,H16
L489648,H16
L489649,H16
L4865,H0+H16
L480650,H0
L480651,H0
L480652,H0
L480653,H0
L480654,H0
L480655,H0
L480656,H0
L480657,H0
L480658,H0
L480659,H0
L481650,H0+H16
L481651,H0
L481652,H0
L481653,H0
L481654,H0
L481655,H0
L481656,H0
L481657,H0
L481658,H0
L481659,H0
L482650,H0+H16
L482651,H0+H16
L482652,H0+H16
L482653,H0
L482654,H0
L482655,H0
L482656,H0
L482657,H0
L482658,H0
L482659,H0
L483650,H16
L483651,H0+H16
L483652,H0+H16
L483653,H0
L483654,H0
L483655,H0
L483656,H0
L483657,H0
L483658,H0
L483659,H0
L484650,H16
L484651,H16
L484652,H0+H16
L484653,H0+H16
L484654,H0+H16
L484655,H0+H16
L484656,H0
L484657,H0
L484658,H0
L484659,H0
L485650,H16
L485651,H16
L485652,H16
L485653,H0+H16
L485654,H0+H16
L485655,H0+H16
L485656,H0+H16
L485657,H0
L485658,H0
L485659,H0
L486650,H16
L486651,H16
L486652,H16
L486653,H16
L486654,H16
L486655,H16
L486656,H0+H16
L486657,H0
L486658,H0
L486659,H0
L487650,H16
L487651,H16
L487652,H16
L487653,H16
L487654,H16
L487655,H16
L487656,H0+H16
L487657,H0
L487658,H0
L487659,H0
L488650,H16
L488651,H16
L488652,H16
L488653,H16
L488654,H16
L488655,H16
L488656,H0+H16
L488657,H0
L488658,H0
L488659,H0
L489650,H16
L489651,H16
L489652,H16
L489653,H0+H16
L489654,H0+H16
L489655,H0+H16
L489656,H0+H16
L489657,H0
L489658,H0
L489659,H0
L4964,H0+H16
L490640,H0
L490641,H0+H16
L490642,H16
L490643,H16
L490644,H16
L490645,H16
L490646,H16
L490647,H16
L490648,H16
L490649,H16
L491640,H0
L491641,H0+H16
L491642,H16
L491643,H16
L491644,H16
L491645,H16
L491646,H16
L491647,H16
L491648,H16
L491649,H16
L492640,H0
L492641,H0+H16
L492642,H16
L492643,H16
L492644,H16
L492645,H16
L492646,H16
L492647,H16
L492648,H16
L492649,H16
L493640,H0+H16
L493641,H0+H16
L493642,H16
L493643,H16
L493644,H16
L493645,H16
L493646,H16
L493647,H16
L493648,H16
L493649,H16
L494640,H0+H16
L494641,H0+H16
L494642,H16
L494643,H16
L494644,H16
L494645,H16
L494646,H16
L494647,H16
L494648,H16
L494649,H16
L495640,H0+H16
L495641,H16
L495642,H16
L495643,H16
L495644,H16
L495645,H16
L495646,H16
L495647,H16
L495648,H16
L495649,H16
L496640,H0+H16
L496641,H16
L496642,H16
L496643,H16
L496644,H16
L496645,H16
L496646,H16
L496647,H16
L496648,H16
L496649,H16
L497640,H16
L497641,H16
L497642,H16
L497643,H16
L497644,H16
L497645,H16
L497646,H16
L497647,H16
L497648,H16
L497649,H16
L498640,H0+H16
L498641,H16
L498642,H16
L498643,H16
L498644,H16
L498645,H16
L498646,H16
L498647,H16
L498648,H16
L498649,H16
L499640,H16
L499641,H16
L499642,H16
L499643,H16
L499644,H16
L499645,H16
L499646,H16
L499647,H16
L499648,H16
L499649,H0+H16
L4965,H0+H16
L490650,H16
L490651,H16
L490652,H16
L490653,H0+H16
L490654,H0
L490655,H0
L490656,H0
L490657,H0
L490658,H0
L490659,H0
L491650,H16
L491651,H16
L491652,H0+H16
L491653,H0+H16
L491654,H0
L491655,H0
L491656,H0
L491657,H0
L491658,H0
L491659,H0
L492650,H16
L492651,H16
