X,H0+H5+H6+H12
X083692,H0
X083693,H0
X083694,H0+H5
X083695,H5
X083696,H5
X083697,H5
X083698,H5
X083699,H5
X084690,H0
X084691,H0
X084692,H0
X084693,H0
X084694,H0+H5
X084695,H5
X084696,H5
X084697,H5
X084698,H5
X084699,H5
X085690,H0
X085691,H0
X085692,H0
X085693,H0
X085694,H0+H5
X085695,H5
X085696,H5
X085697,H5
X085698,H5
X085699,H5
X086690,H0
X086691,H0
X086692,H0
X086693,H0
X086694,H0+H5
X086695,H5
X086696,H5
X086697,H5
X086698,H5
X086699,H5
X087690,H0
X087691,H0
X087692,H0
X087693,H0
X087694,H0+H5
X087695,H5
X087696,H5
X087697,H5
X087698,H5
X087699,H5
X088690,H0
X088691,H0
X088692,H0
X088693,H0
X088694,H0+H5
X088695,H5
X088696,H5
X088697,H5
X088698,H5
X088699,H5
X089690,H0
X089691,H0
X089692,H0
X089693,H0
X089694,H0+H5
X089695,H0+H5
X089696,H0+H5
X089697,H0+H5
X089698,H5
X089699,H5
X0968,H0
X0969,H0+H5
X090690,H0
X090691,H0
X090692,H0
X090693,H0
X090694,H0
X090695,H0
X090696,H0
X090697,H0+H5
X090698,H0+H5
X090699,H5
X091690,H0
X091691,H0
X091692,H0
X091693,H0
X091694,H0
X091695,H0
X091696,H0
X091697,H0+H5
X091698,H0+H5
X091699,H5
X092690,H0
X092691,H0
X092692,H0
X092693,H0
X092694,H0
X092695,H0
X092696,H0
X092697,H0+H5
X092698,H0+H5
X092699,H0+H5
X093690,H0
X093691,H0
X093692,H0
X093693,H0
X093694,H0
X093695,H0
X093696,H0
X093697,H0
X093698,H0
X093699,H0+H5
X094690,H0
X094691,H0
X094692,H0
X094693,H0
X094694,H0
X094695,H0
X094696,H0
X094697,H0
X094698,H0
X094699,H0
X095690,H0
X095691,H0
X095692,H0
X095693,H0
X095694,H0
X095695,H0
X095696,H0
X095697,H0
X095698,H0
X095699,H0
X096690,H0
X096691,H0
X096692,H0
X096693,H0
X096694,H0
X096695,H0
X096696,H0
X096697,H0
X096698,H0
X096699,H0
X097690,H0
X097691,H0
X097692,H0
X097693,H0
X097694,H0
X097695,H0
X097696,H0
X097697,H0
X097698,H0
X097699,H0
X098690,H0
X098691,H0
X098692,H0
X098693,H0
X098694,H0
X098695,H0
X098696,H0
X098697,H0
X098698,H0
X098699,H0
X099690,H0
X099691,H0
X099692,H0
X099693,H0
X099694,H0
X099695,H0
X099696,H0
X099697,H0+H5
X099698,H0+H5
X099699,H0+H5
X07,H0+H5
X07SW,H0+H5
X07NW,H5
X07SE,H0+H5
X07NE,H0+H5
X07A,H5
X07B,H5
X07C,H5
